seed,run_id,experiment,label,category,alc,final_miou,final_f1,lambda_mean,lambda_last,overfit_risk_mean,tvc_neg_rate_mean,labeled_size
42,baseline_20260228_124857_seed42,full_model_A_lambda_policy,AAL-SD (policy full),proposed,0.6693134715200579,0.7650590630934224,0.8490236537105034,0.1714285714285714,0.2,0.6787562619753466,,1383
42,baseline_20260228_124857_seed42,full_model_B_lambda_agent,AAL-SD (agent-lambda),proposed,0.670067887038087,0.7633750239669388,0.8475787880941257,0.2071428571428572,0.2,0.5429360932749897,,1383
42,baseline_20260228_124857_seed42,baseline_entropy,Entropy,baseline,0.6673962507263936,0.755490965110232,0.8408657828954962,,,0.4026063782979389,,1383
42,baseline_20260228_124857_seed42,baseline_bald,BALD,baseline,0.6673477813700884,0.7644388469751812,0.8483365491818762,,,0.4804157284559693,,1383
42,baseline_20260228_124857_seed42,baseline_dial_style,DIAL-style,baseline,0.6681232916148699,0.7625667602991657,0.8468797302196858,,,0.3412128575066191,,1383
42,baseline_20260228_124857_seed42,baseline_wang_style,Wang-style,baseline,0.6713997846508166,0.7560268042592053,0.84122942302382,,,0.4726642508642897,,1383
42,baseline_20260228_124857_seed42,baseline_coreset,Core-set,baseline,0.6577681944621416,0.7507416047505399,0.8369783978807851,,,0.4927860956378108,,1383
42,baseline_20260228_124857_seed42,baseline_random,Random,baseline,0.6562539958879552,0.7390778095196844,0.8268410926997297,,,0.4121760316060242,,1383
