experiment,label,n,mean_grad_cos_last,mean_grad_cos_last_std,mean_grad_cos_last_ci95,neg_grad_rate,neg_grad_rate_std,neg_grad_rate_ci95,mean_overfit_risk,mean_overfit_risk_std,mean_overfit_risk_ci95,mean_lambda_eff,mean_lambda_eff_std,mean_lambda_eff_ci95
full_model_A_lambda_policy,AAL-SD (policy full),4,0.09793695655490063,0.10518024645488791,0.16734177210972667,0.43333333333333335,0.08606629658238704,0.13693147786257778,0.5580115050027837,0.12478426879982196,0.19853177166051675,0.18125000000000002,0.00939269871313066,0.01494378365259088
full_model_B_lambda_agent,AAL-SD (agent-lambda),4,0.2488827887610845,0.17167183692260368,0.27312989254386244,0.3,0.17638342073763938,0.28062602239358425,0.46824012706387375,0.13132972727406314,0.20894559609303445,0.21071428571428577,0.009221388919541482,0.014671229770990496
baseline_entropy,Entropy,4,0.26364709832234134,0.11265472876637722,0.17923367346730615,0.33333333333333337,0.09428090415820635,0.1500009185157063,0.4348773501260057,0.07305806814574888,0.11623538641988646,,,
baseline_bald,BALD,4,0.1530830441972101,0.10241569994166891,0.16294337860719524,0.3833333333333333,0.1138550085106622,0.18114331854046356,0.5146731267166211,0.07718046131965757,0.1227941139595752,,,
baseline_dial_style,DIAL-style,4,0.12846145838178544,0.22268387632269943,0.35429004722941476,0.43333333333333335,0.2581988897471611,0.4107944335877333,0.48703498955398805,0.1005761430984105,0.1600166436695711,,,
baseline_wang_style,Wang-style,4,0.2741016441662892,0.11392881493780213,0.18126074456604319,0.26666666666666666,0.14401645996461912,0.22913018780370903,0.4586637504772382,0.10193274232513379,0.16217499303928784,,,
baseline_coreset,Core-set,4,0.27665136140279156,0.11704367345493438,0.18621648446680059,0.36666666666666664,0.11547005383792515,0.1837128556561389,0.4245664247668007,0.07098976421946755,0.11294471487317287,,,
baseline_random,Random,4,0.24229303237637836,0.029871775350716542,0.04752599458299002,0.31666666666666665,0.06382847385042255,0.10155110189602227,0.38996885247119906,0.05271445470674882,0.08386869743843738,,,
