experiment,label,n,alc_mean,alc_std,alc_ci95,final_miou_mean,final_miou_std,final_miou_ci95,final_f1_mean,final_f1_std,final_f1_ci95,overfit_risk_mean,overfit_risk_std,overfit_risk_ci95,lambda_mean_mean,lambda_mean_std,lambda_mean_ci95
full_model_A_lambda_policy,AAL-SD (policy full),4,0.6674428989596947,0.002854154924465859,0.004540960484825182,0.7607015289917812,0.0046448782712262635,0.007390001329520985,0.8452842603799262,0.0039002645693419955,0.006205320929823115,0.5580115050027837,0.12478426879982195,0.19853177166051672,0.18125,0.00939269871313068,0.01494378365259091
full_model_B_lambda_agent,AAL-SD (agent-lambda),4,0.6663984248273682,0.0036083747391828327,0.005740924210039887,0.7616146667442752,0.001378695817942792,0.002193505046346982,0.8460527293271518,0.0011703935814423414,0.0018620961880747651,0.46824012706387375,0.13132972727406317,0.2089455960930345,0.21071428571428574,0.009221388919541487,0.014671229770990505
baseline_entropy,Entropy,4,0.6671526345536526,0.0005828370559190408,0.0009272937559671938,0.7589302548228638,0.004731631406548935,0.007528025567819356,0.8438047360202383,0.00390466718908202,0.006212325497829494,0.43487735012600565,0.07305806814574888,0.11623538641988646,,,
baseline_bald,BALD,4,0.6657047567260395,0.0027887683674939884,0.004436930472682936,0.7595044380055478,0.0036053254036171357,0.0057360727171548625,0.8442914443230768,0.0029732110581065776,0.004730378793447565,0.5146731267166211,0.07718046131965757,0.1227941139595752,,,
baseline_dial_style,DIAL-style,4,0.6647157080739311,0.00303806607309743,0.004833563122298011,0.7570076181353946,0.0063795546316025836,0.01014987141887971,0.8421237490324319,0.005521114570751475,0.008784093282065596,0.48703498955398805,0.10057614309841052,0.16001664366957113,,,
baseline_wang_style,Wang-style,4,0.6682414162702585,0.0037431418761005946,0.005955338724876046,0.7585378205927882,0.0019240692149898573,0.003061194121048863,0.8433716291267083,0.001640344314992421,0.002609787805152942,0.4586637504772382,0.10193274232513376,0.1621749930392878,,,
baseline_coreset,Core-set,4,0.6531531504260802,0.003490710681823419,0.00555372069478106,0.7498346610913419,0.004664898421292146,0.007421853388275804,0.8361513270729377,0.003944169934017184,0.006275174365021339,0.4245664247668007,0.0709897642194676,0.11294471487317294,,,
baseline_random,Random,4,0.6544758437841567,0.004333432785962291,0.006894491562466004,0.7465701731029568,0.008835677288432014,0.014057562565895335,0.8332475102294559,0.00767906842970466,0.012217397871660114,0.38996885247119906,0.05271445470674885,0.08386869743843742,,,
