experiment_name,n_rounds,overfit_risk_mean,overfit_risk_max,corr_risk_miou_gain,corr_risk_miou_gain_next,corr_tvc_mean_miou_gain,corr_tvc_mean_miou_gain_next
baseline_bald,15,0.4340619784969956,0.904064543293671,-0.4718499020334398,-0.5712938967157107,,
baseline_coreset,15,0.34896510176561707,0.9124557854232671,-0.4540580588599565,-0.4140042170745368,,
baseline_dial_style,15,0.5225043794556332,1.2500618544275666,-0.533255999664203,-0.5743941062225105,,
baseline_entropy,15,0.3758424368981986,1.0238829439370876,-0.49215264477151993,-0.4245449011134931,,
baseline_random,15,0.32399755217083775,1.141636387978256,-0.296268985228815,-0.4158330808904349,,
baseline_wang_style,15,0.4729252007098267,1.1697055681105482,-0.4415116777869223,-0.5557139266525847,,
full_model_A_lambda_policy,15,0.5191253681671344,1.2724059757941837,-0.15112195119491034,-0.5508269332815994,,
full_model_B_lambda_agent,15,0.3172895975998163,1.2532526376484223,-0.45283843737419704,-0.49608963451507837,,
