experiment_name,n_rounds,lambda_corr_tvc_mean,lambda_corr_tvc_last,lambda_corr_tvc_neg_rate,tvc_mean_all_rounds,tvc_neg_rate_all_rounds_mean,tvc_min_any,tvc_max_any
baseline_bald,15,,,,0.4569477050088953,0.19333333333333333,-0.8100370518475594,0.9621723697719555
baseline_coreset,15,,,,0.5361619622676785,0.14,-0.7374643304171185,0.9846096785628471
baseline_entropy,15,,,,0.42968353041493396,0.2,-0.8129470287984613,0.9549280097239611
baseline_llm_rs,15,,,,0.5205370959426036,0.14,-0.7624869668571242,0.979329761482987
baseline_llm_us,15,,,,0.41433774131688045,0.21333333333333335,-0.7763751636582693,0.9552835116749617
baseline_random,15,,,,0.5535103643978982,0.14666666666666667,-0.6482684168807061,0.9672295274841457
full_model_k_coreset_to_labeled,15,-0.8759568504896095,-0.365882449853886,0.8399535379572518,0.43252811648513195,0.2,-0.7913567770541494,0.9744775047789953
