round,grad_total_norm_mean,grad_backbone_norm_mean,grad_head_norm_mean,grad_cos_consecutive_mean,grad_cos_to_mean_mean,grad_train_val_cos,grad_n_probe_batches,experiment
1,1.6677181021696519,1.158038843395048,1.147543313516653,0.8269136806109779,0.9158227908821625,0.8738677210508454,8.0,agent_control_budget
2,1.8319574649559585,1.5320884227727567,0.9515229925469241,0.5000592423976719,0.7188226084727518,0.7399194645958544,8.0,agent_control_budget
3,1.6682967794718,1.5125994758132058,0.679371080015524,0.330845332429171,0.6052941593585295,0.43927514168414417,8.0,agent_control_budget
4,1.4019482820874116,1.2077518376070298,0.6802293194745671,0.32205174664200936,0.5808239288914645,0.6821407843424063,8.0,agent_control_budget
5,1.208156105224018,1.0429095249073246,0.5861864254035007,0.2144682650081116,0.5115699827472352,0.5658756635027441,8.0,agent_control_budget
6,1.1333568465026582,0.9981605881490732,0.5117159273115377,0.3157872662626779,0.5158462113348327,0.5980163219340628,8.0,agent_control_budget
7,1.0373357316917569,0.8939888786915038,0.49526598492255414,0.29052527795200456,0.5467579503539911,0.47467844318755087,8.0,agent_control_budget
8,0.9514133676470538,0.8187616517918069,0.4624569421316994,0.3689049316464573,0.6121745709201958,0.32221802604836386,8.0,agent_control_budget
9,0.8695832011764265,0.7277061105272111,0.4432259142301514,0.33534584557081104,0.49668004031604707,0.447957045008605,8.0,agent_control_budget
10,0.729974652559731,0.6001934783145628,0.3886412703959162,0.2482240496272668,0.5028549683195666,0.2412815002299052,8.0,agent_control_budget
11,0.7388213373291315,0.6305347375578501,0.37205394745608583,0.2037882062419424,0.40757421796959364,0.2891812079506544,8.0,agent_control_budget
12,0.7511784779070769,0.6536738396803035,0.35873385273653063,0.2927513164445342,0.4075759406849647,0.22480186163901433,8.0,agent_control_budget
13,0.7390458488760481,0.6499334666966762,0.3376165695510719,0.363369397961655,0.5254240778664453,0.014313282723348609,8.0,agent_control_budget
14,0.6648912581767283,0.5622129149972341,0.33701691505872533,0.3128418286625753,0.5599893924798838,0.3708410358730671,8.0,agent_control_budget
15,0.6746890082074849,0.5890216010376615,0.3184680410349557,0.27966374037395864,0.3797012360548664,0.2771502167141612,8.0,agent_control_budget
1,1.6978383427735693,1.2004616708415048,1.1466352700113867,0.8240512220763915,0.912473710213862,0.8961636613296504,8.0,agent_control_lambda
2,1.849170329346253,1.5472917711248315,0.9582985760579087,0.6479193256608335,0.7493515152121204,0.8684118272530943,8.0,agent_control_lambda
3,1.5039738610563111,1.3265098212425666,0.6834835617032142,0.18775160571521107,0.5024376573035546,0.47533954832621966,8.0,agent_control_lambda
4,1.360323749961654,1.1627377096505556,0.674984191015603,0.4186163832409965,0.6319075920678986,0.48815131937479783,8.0,agent_control_lambda
5,1.200956610259249,1.0351283417560533,0.5838145923912972,0.3129813853337793,0.5116680534998129,0.5990863785515773,8.0,agent_control_lambda
6,1.1621549364401689,1.0244423615562337,0.5257482525736613,0.27787288442876423,0.5012978924884102,0.3853760644585294,8.0,agent_control_lambda
7,1.0038614049019645,0.8480809721868671,0.5114282691712004,0.28372584795137673,0.5977807051804793,0.4952162638613622,8.0,agent_control_lambda
8,0.9165622858553206,0.7743494850028104,0.47076622700816373,0.2846440866152424,0.5929729381656224,0.26540665979439504,8.0,agent_control_lambda
9,0.9533973473628908,0.7931333491196687,0.5064477105590843,0.17542065748947186,0.4677817145966091,0.5562446683884206,8.0,agent_control_lambda
10,0.7569172326387655,0.6186161770267967,0.4116341260402268,0.2995312567199942,0.607529691956334,0.42748661626504436,8.0,agent_control_lambda
11,0.7928752134591472,0.6905874752582312,0.3748715645940929,0.20264188830723046,0.36731750051762574,0.21942446207487035,8.0,agent_control_lambda
12,0.7821479217968181,0.6881826043619881,0.36009079218006085,0.3215691022316069,0.43548277007199154,0.19280512015037657,8.0,agent_control_lambda
13,0.6809548737316989,0.5930771159378506,0.3232987470240606,0.29481256017839585,0.5385590333595249,0.03561378159665525,8.0,agent_control_lambda
14,0.6572089554911625,0.5485734996283785,0.342466524772527,0.2712471278101649,0.5538853058851955,0.34065151320664067,8.0,agent_control_lambda
15,0.6571664152162929,0.5693821702896719,0.3179043639216146,0.3176723538980183,0.4009284160294837,0.09918493208618288,8.0,agent_control_lambda
1,1.72223026943275,1.2465329648902257,1.1372625879291367,0.8558198729992847,0.9231481582032026,0.8704693151237481,8.0,baseline_bald
2,1.7307603773996738,1.4534249790736704,0.8927504044039777,0.5607855824662092,0.7455874171698268,0.8227265980199661,8.0,baseline_bald
3,1.5170272755148608,1.3545453595609986,0.6586505259071883,0.29310451321005704,0.5473335170030449,0.5579398154586646,8.0,baseline_bald
4,1.3381358387525897,1.1435323542570113,0.6667213001130834,0.33245238160245905,0.6064248414698407,0.4870823856921921,8.0,baseline_bald
5,1.2349408397369255,1.0760006438759449,0.5807671692591594,0.42546017828848637,0.5597314370814771,0.4646438266503729,8.0,baseline_bald
6,1.146315032288837,1.011082524982361,0.5214177605433219,0.22382671172733026,0.5447072909537478,0.45748836088787215,8.0,baseline_bald
7,0.9919213226455732,0.8197243205879507,0.5317812188368763,0.3029561508510979,0.5592171391217711,0.58730337412191,8.0,baseline_bald
8,0.94204363177366,0.8033912965946628,0.47158347919490434,0.1975924915887511,0.5267728859317935,0.25975287980490375,8.0,baseline_bald
9,0.9328611925527943,0.7687954910229451,0.5042605425020603,0.280644340725895,0.5000577152086749,0.4947403508258489,8.0,baseline_bald
10,0.8221929087570967,0.6818828493162432,0.43730161292369285,0.17521790900646622,0.5245916345359689,0.35520081491891786,8.0,baseline_bald
11,0.7346495351314688,0.6233772013249813,0.3732473112840607,0.12401312665564505,0.44937682593605277,0.05579063777318166,8.0,baseline_bald
12,0.7560914225648478,0.6571784891587039,0.361883147051661,0.25466118215481115,0.474191572923217,0.2632587882518235,8.0,baseline_bald
13,0.6840425135293652,0.5940314573172565,0.3265488511681658,0.2676500587472198,0.5300799297743362,-0.0190248853696519,8.0,baseline_bald
14,0.6647193033345744,0.5577715226059146,0.34485942979917394,0.3547181925977303,0.5671808713122614,0.2723993430462531,8.0,baseline_bald
15,0.6984327241394068,0.6118630147583124,0.32749017840104294,0.113755787658812,0.4382168796184326,-0.06874013445894565,8.0,baseline_bald
1,1.7750233910108553,1.2875170451079154,1.1504083018973559,0.8033324217839833,0.9014776369094643,0.8655596117142972,8.0,baseline_coreset
2,1.3849904123817292,1.0487523451453007,0.8542893868011717,0.6375400767596486,0.8249293089921406,0.8433264808190796,8.0,baseline_coreset
3,1.2029908400819787,1.034254665668179,0.5795497407067932,0.5306159345288004,0.7304293106624351,0.6649739880265085,8.0,baseline_coreset
