round,labeled_size,mIoU,f1,selection_expected,selection_selected,selection_source,avg_uncertainty,avg_knowledge_gain,lambda_t,lambda_controller,lambda_controller_mode,miou_delta,rollback_flag,experiment
10,1031,0.7337999105920884,0.8225266465519148,88.0,88.0,pipeline,,,,,,-0.00778364024927114,False,baseline_coreset
11,1119,0.7362498407305679,0.8240761797988884,88.0,88.0,pipeline,,,,,,0.0024499301384794947,False,baseline_coreset
12,1207,0.7407391712959199,0.8279894437318258,88.0,88.0,pipeline,,,,,,0.0044893305653520565,False,baseline_coreset
13,1295,0.749786555308535,0.8361791566222229,88.0,88.0,pipeline,,,,,,0.009047384012615067,False,baseline_coreset
14,1383,0.7425546569768267,0.8296608467983226,88.0,88.0,pipeline,,,,,,-0.007231898331708342,False,baseline_coreset
15,1383,0.7421316659390875,0.829662814529995,,,,,,,,,-0.00042299103773912883,False,baseline_coreset
1,239,0.5956839164474501,0.671098851716913,88.0,88.0,pipeline,0.23680216983780786,,,,,,False,baseline_dial_style
2,327,0.6892993951475428,0.7793486556972864,88.0,88.0,pipeline,0.204275269246336,,,,,0.09361547870009268,False,baseline_dial_style
3,415,0.7087433626389426,0.7985798080697246,88.0,88.0,pipeline,0.19711545690500218,,,,,0.01944396749139976,False,baseline_dial_style
4,503,0.7341573224870483,0.8224253413631859,88.0,88.0,pipeline,0.15225883145934008,,,,,0.025413959848105794,False,baseline_dial_style
5,591,0.7291205033355409,0.8182167641746666,88.0,88.0,pipeline,0.12126685402383258,,,,,-0.005036819151507443,False,baseline_dial_style
6,679,0.7315222158732427,0.819949732039871,88.0,88.0,pipeline,0.09763957873675538,,,,,0.002401712537701828,False,baseline_dial_style
7,767,0.7446424807058332,0.8315626575370507,88.0,88.0,pipeline,0.09038214688610091,,,,,0.013120264832590434,False,baseline_dial_style
8,855,0.7531270171052513,0.8387763310753528,88.0,88.0,pipeline,0.06481755540669595,,,,,0.008484536399418152,False,baseline_dial_style
9,943,0.7560851225097514,0.8415088947147124,88.0,88.0,pipeline,0.08626693340681779,,,,,0.0029581054045000332,False,baseline_dial_style
10,1031,0.7460402713108972,0.8326297668171729,88.0,88.0,pipeline,0.07300519603966071,,,,,-0.010044851198854121,False,baseline_dial_style
11,1119,0.7550183233894507,0.8404575787607255,88.0,88.0,pipeline,0.036734314220521064,,,,,0.008978052078553511,False,baseline_dial_style
12,1207,0.7596318339215365,0.8444589267683349,88.0,88.0,pipeline,0.0641806024077451,,,,,0.004613510532085807,False,baseline_dial_style
13,1295,0.7608355947086212,0.8452803368495545,88.0,88.0,pipeline,0.04445773257248719,,,,,0.0012037607870846179,False,baseline_dial_style
