round,lambda,epochs,query_size,rollback_flag,miou_delta,last_miou,ts,experiment
12,0.2,,,False,-0.002098551235937718,0.7624990248473105,2026-02-19T06:18:47.842372,full_model_default_thresholds
13,0.2,,,False,-0.008335811144521088,0.7541632137027894,2026-02-19T06:31:18.854177,full_model_default_thresholds
14,0.2,,,False,0.004233720904085803,0.7583969346068752,2026-02-19T06:45:21.491469,full_model_default_thresholds
1,0.2,,88.0,False,,0.6193141494502058,2026-02-19T07:04:29.621858,full_model_fixed_epochs_lambda_budget
2,0.2,,88.0,False,0.07236484905534302,0.6916789985055488,2026-02-19T07:10:16.960501,full_model_fixed_epochs_lambda_budget
3,0.2,,88.0,False,0.030797433838005817,0.7224764323435546,2026-02-19T07:16:48.642698,full_model_fixed_epochs_lambda_budget
4,0.2,,88.0,False,0.01466594766675322,0.7371423800103079,2026-02-19T07:23:37.429176,full_model_fixed_epochs_lambda_budget
5,0.2,,88.0,False,-5.023975687246107e-05,0.7370921402534354,2026-02-19T07:32:22.533941,full_model_fixed_epochs_lambda_budget
6,0.2,,88.0,False,-0.0044193650132295925,0.7326727752402058,2026-02-19T07:42:41.445947,full_model_fixed_epochs_lambda_budget
7,0.2,,88.0,False,0.017473224025284173,0.75014599926549,2026-02-19T07:53:16.022206,full_model_fixed_epochs_lambda_budget
8,0.2,,88.0,False,0.0044414582106887535,0.7545874574761787,2026-02-19T08:04:57.151494,full_model_fixed_epochs_lambda_budget
9,0.2,,88.0,False,-0.011709501233421404,0.7428779562427573,2026-02-19T08:17:10.536900,full_model_fixed_epochs_lambda_budget
10,0.2,,88.0,False,0.014593990797519552,0.7574719470402769,2026-02-19T08:32:28.786331,full_model_fixed_epochs_lambda_budget
11,0.2,,88.0,False,0.005669579110850198,0.7631415261511271,2026-02-19T08:46:40.946943,full_model_fixed_epochs_lambda_budget
12,0.2,,,False,-0.007446439126698734,0.7556950870244283,2026-02-19T09:00:30.543509,full_model_fixed_epochs_lambda_budget
13,0.2,,88.0,False,0.0068825033016675086,0.7625775903260958,2026-02-19T09:16:26.095703,full_model_fixed_epochs_lambda_budget
14,0.2,,88.0,False,0.003140538996177833,0.7657181293222737,2026-02-19T09:33:14.845936,full_model_fixed_epochs_lambda_budget
1,0.0,,,False,,0.6110579687010977,2026-02-19T09:52:06.394729,full_model_policy_lambda
2,0.0,,,False,0.08622065255860833,0.6972786212597061,2026-02-19T09:58:15.468771,full_model_policy_lambda
3,0.2,,,False,0.013364358418407218,0.7106429796781133,2026-02-19T10:05:45.037825,full_model_policy_lambda
4,0.2,,,False,0.024864737006289883,0.7355077166844032,2026-02-19T10:12:26.264887,full_model_policy_lambda
5,0.2,,,False,0.0020081418780432125,0.7375158585624464,2026-02-19T10:20:12.483456,full_model_policy_lambda
6,0.2,,,False,0.007711827151266837,0.7452276857137132,2026-02-19T10:28:46.627913,full_model_policy_lambda
7,0.2,,,False,0.0036768713134684994,0.7489045570271817,2026-02-19T10:38:13.470567,full_model_policy_lambda
8,0.25,,,False,-0.006958921716627597,0.7419456353105541,2026-02-19T10:48:21.591190,full_model_policy_lambda
9,0.25,,,False,0.01236307071316245,0.7543087060237166,2026-02-19T10:59:29.394972,full_model_policy_lambda
10,0.25,,,False,0.004864787420737038,0.7591734934444536,2026-02-19T11:15:34.212970,full_model_policy_lambda
11,0.2,,,False,0.0018842284779975182,0.7610577219224511,2026-02-19T11:27:34.653391,full_model_policy_lambda
12,0.2,,,False,0.001804846676160321,0.7628625685986115,2026-02-19T11:44:55.622288,full_model_policy_lambda
13,0.2,,,False,0.0044486552048754735,0.7673112238034869,2026-02-19T11:58:56.704595,full_model_policy_lambda
14,0.2,,,False,-0.007181614433028449,0.7601296093704585,2026-02-19T12:13:45.513175,full_model_policy_lambda
1,0.0,,,False,,0.6098682706970914,2026-02-18T13:26:18.519393,full_model
2,0.0,,,False,0.09314645354092221,0.7030147242380136,2026-02-18T13:33:21.160174,full_model
3,0.2,,,False,0.012586096580354034,0.7156008208183676,2026-02-18T13:39:26.276286,full_model
4,0.2,,,False,0.010095808872903067,0.7256966296912707,2026-02-18T13:46:16.841184,full_model
5,0.2,,,False,0.016444545757215878,0.7421411754484866,2026-02-18T13:54:28.229718,full_model
