experiment_name,n_rounds,last_round,last_miou,best_miou,lambda_mean,lambda_last,overfit_risk_mean,tvc_neg_rate_mean
baseline_dial_style,15,15,0.7622311109977729,0.7622311109977729,,,0.5127525247937733,
baseline_wang_style,15,15,0.7603890444501249,0.7661927870393653,,,0.3213011234428542,
baseline_random,15,15,0.7582920175876566,0.7582920175876566,,,0.37626003791758506,
full_model_A_lambda_policy,15,15,0.7580980853485877,0.7580980853485877,0.18928571428571433,0.2,0.40030998848091875,
full_model_B_lambda_agent,15,15,0.7563508126808772,0.7621805079910818,0.2214285714285715,0.2,0.40520031207415336,
baseline_coreset,15,15,0.7558301393616114,0.7558301393616114,,,0.3796675814337371,
baseline_bald,15,15,0.7557757580997643,0.7667676461117695,,,0.5296730224402677,
baseline_entropy,15,15,0.7550936032525789,0.7597643172280875,,,0.42004258713411885,
